Date,Open,High,Low,Close,Adj Close,Volume
2019-11-08,56.470001,56.619999,56.459999,56.619999,55.382607,34500
2019-11-11,56.410000,56.529999,56.330002,56.520000,55.284798,33000
2019-11-12,56.490002,56.650002,56.450001,56.459999,55.226105,72100
2019-11-13,56.430000,56.509998,56.299999,56.490002,55.255451,28000
2019-11-14,56.430000,56.540001,56.330002,56.520000,55.284798,48300
2019-11-15,56.639999,56.810001,56.599998,56.810001,55.568455,26700
2019-11-18,56.790001,56.889999,56.720001,56.849998,55.607578,35700
2019-11-19,56.970001,56.990002,56.750000,56.869999,55.627144,151900
2019-11-20,56.730000,56.820000,56.369999,56.660000,55.421730,31000
2019-11-21,56.619999,56.639999,56.419998,56.610001,55.372826,35400
2019-11-22,56.700001,56.700001,56.500000,56.680000,55.441296,25900
2019-11-25,56.799999,57.000000,56.799999,57.000000,55.754303,38900
2019-11-26,56.980000,57.080002,56.980000,57.080002,55.832558,36500
2019-11-27,57.180000,57.230000,57.080002,57.200001,55.949936,42300
2019-11-29,57.049999,57.090000,56.939999,56.939999,55.695614,19400
2019-12-02,56.910000,56.910000,56.520000,56.570000,55.333698,46600
2019-12-03,56.320000,56.470001,56.029999,56.470001,55.235889,43900
2019-12-04,56.639999,56.830002,56.639999,56.790001,55.548889,84900
2019-12-05,56.790001,56.869999,56.700001,56.730000,55.490200,48400
2019-12-06,57.090000,57.230000,57.060001,57.189999,55.940151,34300
2019-12-09,57.110001,57.209999,56.950001,56.950001,55.705395,87800
2019-12-10,56.959999,57.080002,56.840000,57.009998,55.764084,36200
2019-12-11,57.020000,57.290001,57.020000,57.240002,55.989059,51800
2019-12-12,57.240002,57.680000,57.240002,57.560001,56.302067,88000
2019-12-13,57.669998,57.919998,57.639999,57.790001,56.527042,39000
2019-12-16,58.009998,58.240002,58.000000,58.139999,56.869389,42300
2019-12-17,58.130001,58.189999,58.040001,58.130001,56.859608,46300
2019-12-18,58.099998,58.139999,58.070000,58.119999,56.849823,29900
2019-12-19,58.160000,58.240002,58.020000,58.209999,56.937859,36900
2019-12-20,58.320000,58.430000,58.270000,58.310001,57.035675,80100
2019-12-23,58.410000,58.419998,58.349998,58.400002,57.123711,44700
2019-12-24,57.840000,57.840000,57.770000,57.840000,57.105934,33600
2019-12-26,58.000000,58.070000,57.910000,58.070000,57.333012,57300
2019-12-27,58.099998,58.270000,58.070000,58.150002,57.412003,46600
2019-12-30,58.189999,58.189999,57.799999,57.799999,57.066444,78800
2019-12-31,57.860001,58.000000,57.770000,58.000000,57.263901,64200
2020-01-02,58.330002,58.490002,58.220001,58.480000,57.737812,162500
2020-01-03,57.919998,58.259998,57.889999,58.110001,57.372509,105400
